english,type,vietnamese,pronounce,explain,example,example_vietnamese,image_url,mp3_url,topic,topic_url
shut down,v.,"Tắt máy, ngừng hoạt động",/ʃʌt/,It stops being often for bussiness,Please shut down the computer before you leave.,Vui lòng tắt máy trước khi bạn ngừng làm việc.,https://audio.tflat.vn/data/cache/images/300x225/s/h/shut_down2.jpg,https://audio.tflat.vn/audio/s/h/shut_down.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
warning,n.,Sự cảnh báo ,/'wɔ:niɳ/,"A statement, an event, etc. telling somebody that something bad or unpleasant",The red flashing light gives a warning to users that the battery is low.,Ánh sáng nhấp nháy màu đỏ đưa ra sự cảnh báo với người dùng rằng pin bị cạn.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_red_fl_ex1_56248d157f8b9a040dc65e14.jpg,https://audio.tflat.vn/audio/w/a/warning.mp3,Computers and the Internet,https://tienganhtflat.com/blog/toeic-words-computers-and-the-internet
marketing,n.,Ngành tiếp thị,/ˈmɑːkɪtɪŋ/,,She works in sales and marketing.,Cô ấy bán hàng và tiếp thị.,https://audio.tflat.vn/data/cache/images/300x225/m/a/marketing1.jpg,https://audio.tflat.vn/audio/m/a/marketing.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
attract,v.,"Hấp dẫn, lôi cuốn, thu hút",/ə'trækt/,To draw by appeal,The display attracted a number of people at the convention.,Việc trưng bày đã thu hút được một số người tại hội nghị.,https://audio.tflat.vn/data/cache/images/300x225/a/t/attract1.png,https://audio.tflat.vn/audio/a/t/attract.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
compare,v.,So sánh,/kəm'peə/,To examine people or things to see how they are similar and how they are different,Some parents want to compare their children with others’.,Nhiều bậc cha mẹ thích so sánh con của họ với con của người khác.,https://audio.tflat.vn/data/cache/images/300x225/c/o/compare1.png,https://audio.tflat.vn/audio/c/o/compare.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
competition,n.,Cuộc thi,"/,kɔmpi'tiʃn/",A situation in which people or organizations compete with each other for something that not everyone can have,Which team do you think will win that tug of war competition?,Bạn nghĩ đội nào sẽ thắng cuộc thi kéo co đó?,https://audio.tflat.vn/data/cache/images/300x225/c/o/competition.jpg,https://audio.tflat.vn/audio/c/o/competition.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
consume,v.,"Tiêu thụ, tiêu dùng",/kən'sju:m/,"To use something, especially fuel, engery or time",People consume a good deal of sugar in drinks.,Mọi người tiêu dùng một lượng đường lớn trong đồ uống.,https://audio.tflat.vn/data/cache/images/300x225/c/o/consume1.png,https://audio.tflat.vn/audio/c/o/consume.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
convince,v.,Thuyết phục,/kən'vins/,To make somebody / yourselft believe that something is true,He convinced me that he was right.,Anh ấy đã thuyết phục tôi rằng anh ấy đã đúng.,https://audio.tflat.vn/data/cache/images/300x225/c/o/convince1.png,https://audio.tflat.vn/audio/c/o/convince.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
currently,adv.,"Hiện tại, lúc này",/ˈkʌrəntli/,At the present time,"Currently, customers are demanding big discounts for bulk orders.","Hiện nay, khách hàng đang đòi hỏi những khoản giảm giá nhiều cho những đơn hàng lớn.",https://audio.tflat.vn/data/images_example/300x225/c/u/currently__ex1_56248d0c7f8b9a000de3d039.jpg,https://audio.tflat.vn/audio/c/u/currently.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
fad,n.,Mốt nhất thời ,/fæd/,Something that people are interested in for only a short period of time.,"The mini dress was a fad once thought to be finished, but now it is making a comeback.","Váy ngắn là mốt tạm thời mỗi khi ý tưởng bị hết, nhưng hiện giờ nó đang quay trở lại.",https://audio.tflat.vn/data/cache/images/300x225/f/a/fad1.png,https://audio.tflat.vn/audio/f/a/fad.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
inspiration,n.,Cảm hứng,"/,inspə'reiʃn/",A thing or person that arouses a feeling,Nature is a source of inspiration for inventors.,Thiên nhiên là nguồn cảm hứng cho các nhà phát minh.,https://audio.tflat.vn/data/cache/images/300x225/i/n/inspiration2.jpg,https://audio.tflat.vn/audio/i/n/inspiration.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
market,n.,"Thị trường, chợ, nơi mua bán sản phẩm...",/'mɑ:kit/,An area in which commercial dealings are conducted,My mother goes to the market every morning.,Mẹ tôi đi vào chợ mỗi buổi sáng.,https://audio.tflat.vn/data/cache/images/300x225/m/a/market1.png,https://audio.tflat.vn/audio/m/a/market.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
persuasion,n.,"Sự thuyết phục, làm cho tin (chú ý: persuade > convince)",/pə'sweiʤn/,"The power to influence, a deep conviction or belief.",The seminar teaches techniques of persuasion to increase sales.,Hội thảo giảng dạy những kỹ thuật thuyết phục để gia tăng doanh số.,https://audio.tflat.vn/data/cache/images/300x225/p/e/persuasion1.png,https://audio.tflat.vn/audio/p/e/persuasion.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
productive,adj.,"Có năng suất, hiệu quả ",/prəˈdʌktɪv/,"Making goods or growing crops, especially in large quantities",The managers had a very productive meeting and were able to solve many of the problems.,Người trưởng phòng có một cuộc họp rất hiệu quả và đã có thể làm sáng tỏ nhiều vấn đề.,https://audio.tflat.vn/data/cache/images/300x225/p/r/productive1.png,https://audio.tflat.vn/audio/p/r/productive.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
satisfaction,n.,"Sự hài lòng, sự thỏa mãn,","/,sætis'fækʃn/",The good feeling that you have when you have achieved something,Your satisfaction is guaranteed or you'll get your money back.,"Sự hài lòng của bạn được bảo đảm, hoặc là bạn sẽ được nhận lại tiền của mình.",https://audio.tflat.vn/data/cache/images/300x225/s/a/satisfaction2.jpg,https://audio.tflat.vn/audio/s/a/satisfaction.mp3,Marketing,https://tienganhtflat.com/blog/toeic-words-marketing
accounting,n.,Công việc kế toán,/ə'kauntiɳ/,The process or work of keeping financial accounts.,Good accounting is needed in all businesses.,Việc kế toán tốt là cần thiết cho mọi công việc làm ăn.,https://audio.tflat.vn/data/cache/images/300x225/a/c/accounting1.jpg,https://audio.tflat.vn/audio/a/c/accounting.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
accountant,n.,Kế toán viên,/əˈkaʊnt(ə)nt/,A person whose job is to keep or inspect financial accounts.,"He is not sure if he owes tax on this, but is meeting his accountant this week to discuss the issue.","Ông ấy không chắc nếu ông nợ thuế về điều này, nhưng sẽ gặp kế toán của mình trong tuần này để thảo luận về vấn đề này.",https://audio.tflat.vn/data/cache/images/300x225/a/c/accountant1.jpg,https://audio.tflat.vn/audio/a/c/accountant.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
accumulate,v.,"Tích lũy, tích góp, gom góp",/ə'kju:mjuleit/,To gradually get more and more of something over a period of time.,They have accumulated more than enough information.,Họ đã tích lũy nhiều hơn mức thông tin đủ dùng.,https://audio.tflat.vn/data/cache/images/300x225/a/c/accumulate1.png,https://audio.tflat.vn/audio/a/c/accumulate.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
asset,n.,"Tài sản, của cải",/'æset/,A person or thing that is valuable or useful to someone or something.,The company's asset are worth millions of dollars.,Tài sản của công ty trị giá hàng triệu đô-la.,https://audio.tflat.vn/data/cache/images/300x225/a/s/asset1.png,https://audio.tflat.vn/audio/a/s/asset.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
audit,v.,Kiểm toán,/'ɔ:dit/,To officially examine the financial accounts of a company.,The independent accountants audited the company's books.,"Những kế toán viên độc lập đã kiểm toán sổ sách kế toán của công ty.
",https://audio.tflat.vn/data/cache/images/300x225/a/u/audit1.png,https://audio.tflat.vn/audio/a/u/audit.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
budget,n.,"Ngân sách, ngân quỹ",/ˈbʌdʒɪt/,The money that is available to a person or an organization and a plan of how it will be spent over a period of time.,The company will have to prepare bigger budget for this department next year.,Công ty sẽ phải dự thảo ngân sách nhiều hơn cho bộ phận này vào năm sau.,https://audio.tflat.vn/data/cache/images/300x225/b/u/budget1.jpg,https://audio.tflat.vn/audio/b/u/budget.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
build up,v.,Xây dựng dần lên,/'bildʌp/,To increase over time.,The firm has to build up a solid reputation for itself.,Công ty phải xây dựng dần lên danh tiếng vững chắc cho chính mình.,https://audio.tflat.vn/data/cache/images/300x225/b/u/build_up1.jpg,https://audio.tflat.vn/audio/b/u/build_up.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
client,n.,"Khách, khách hàng",/'klaiənt/,A customer,"We must provide excellent services for our clients, otherwise we will lose them to our competition.","Chúng ta phải cung cấp các dịch vụ xuất sắc cho khách hàng của mình, bằng không chúng ta sẽ để mất họ vào tay đối thủ.",https://audio.tflat.vn/data/cache/images/300x225/c/l/client1.jpg,https://audio.tflat.vn/audio/c/l/client.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
debt,n.,"Nợ, món nợ",/det/,A sum of money that someone owes.,The banks are worried about your increasing debt.,Các ngân hàng lo lắng về khoản nợ đang gia tăng của anh.,https://audio.tflat.vn/data/cache/images/300x225/d/e/debt1.jpg,https://audio.tflat.vn/audio/d/e/debt.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
outstanding,adj.,"Còn tồn tại, chưa giải quyết xong, chưa trả nợ",/aut'stændiɳ/,Extremely good; excellent,She has outstanding debts of over £500.,Cô ấy còn khoản nợ hơn 500 triệu bảng Anh.,https://audio.tflat.vn/data/cache/images/300x225/o/u/outstanding1.jpg,https://audio.tflat.vn/audio/o/u/outstanding.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
profitably,adv.,"Có lợi, có ích, sinh lãi, sinh lợi",/ˌprɒfɪtəˈbɪləti/,That makes or is likely to make money.,We invested in the stock market profitably.,Công ty đã đầu tư sinh lợi vào thị trường chứng khoán.,https://audio.tflat.vn/data/cache/images/300x225/p/r/profitably1.jpg,https://audio.tflat.vn/audio/p/r/profitably.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
reconcile,v.,"Chỉnh lý, làm cho phù hợp/nhất trí, hòa giải","/nhất trí, hòa giải /'rekənsail/","To find an acceptable way of dealing with two or more ideas, needs, etc. that seem to be opposed to each other.",The accountant found the error when she reconcile the account.,Nhân viên kế toán tìm ra lỗi khi cô ấy chỉnh lý tài khoản (sửa lại tài khoản cho đúng).,https://audio.tflat.vn/data/cache/images/300x225/r/e/reconcile1.jpg,https://audio.tflat.vn/audio/r/e/reconcile.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
turnover,n.,"Doanh số, doanh thu",/ˈtɜːnəʊvə(r)/,The total amount of goods or services sold by a company during a particular period of time.,An annual turnover of $75 million.,Doanh thu hàng năm là $ 75.000.000.,https://audio.tflat.vn/data/cache/images/300x225/t/u/turnover1.jpg,https://audio.tflat.vn/audio/t/u/turnover.mp3,Accounting,https://tienganhtflat.com/blog/toeic-words-accounting
annually,adv.,"Hàng năm, từng nằm, thường niên (yearly)",/'ænjuəli/,Once a year,Everyone should get a physical exam annually.,Mọi người nên đi khám sức khỏe hàng năm.,https://audio.tflat.vn/data/cache/images/300x225/a/n/annually2.jpg,https://audio.tflat.vn/audio/a/n/annually.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
appointment,n.,"Cuộc hẹn, sự hẹn gặp",/ə'pɔintmənt/,A formal arrangement to meet or visit someone at a particular time,I've got a dentist appointment at 3 o'clock.,Tôi đã có một cuộc hẹn với nha sĩ lúc 03:00.,https://audio.tflat.vn/data/cache/images/300x225/a/p/appointment2.jpg,https://audio.tflat.vn/audio/a/p/appointment.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
assess,v.,"Đánh giá, ước lượng ",/ə'ses/,To make a judgment about the nature or quality of someone or something,The insurance rate Mr. Victor was assessed went up this year after he admitted that he had started smoking again.,Mức phí bảo hiểm mà ông Victor được định giá tăng lên sau khi ông thú nhận đã bắt đầu hút thuốc trở lại.,https://audio.tflat.vn/data/cache/images/300x225/a/s/assess1.png,https://audio.tflat.vn/audio/a/s/assess.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
diagnose,v.,Chuẩn đoán,/´daiəg¸nouz/,To say exactly what an illness or the cause of a problem is,"After considering the patient's symptoms and looking at his test results, the doctor diagnosed the lump as benign.","Sau khi cân nhắc các triệu chứng của bệnh nhân và xem kết quả xét nghiệm của anh ta, vị bác sĩ đã chẩn đoán khối u là u lành.",https://audio.tflat.vn/data/cache/images/300x225/d/i/diagnose1.png,https://audio.tflat.vn/audio/d/i/diagnose.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
effective,adj.,"Có hiệu quả, có tác dụng",/ɪˈfektɪv/,Producing the result that is wanted or intended,Howard was pleased to find that the diet recommended by his doctor was quite effective.,Howard đã đã cảm thấy hài lòng khi chế độ ăn kiêng được bác sĩ dặn đã hoàn toàn có hiệu quả.,https://audio.tflat.vn/data/cache/images/300x225/e/f/effective1.jpg,https://audio.tflat.vn/audio/e/f/effective.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
instrument,n.,"Dụng cụ, công cụ",/'instrumənt/,A tool or device used for a particular task,The senior physician carried his instruments in a black leather bag.,Người thầy thuốc thâm niên mang những dụng cụ của mình trong một cái túi da màu đen.,https://audio.tflat.vn/data/images_example/300x225/t/h/the_senior_ex1_56248d167f8b9a040dc6624c.jpg,https://audio.tflat.vn/audio/i/n/instrument.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
manage,v.,"Quán lý, điều hành",/'mænidʤ/,"To succeed in doing something, especially something difficult",I managed to pass the exams.,Tôi đã xoay sở vượt qua được các kỳ thi.,https://audio.tflat.vn/data/cache/images/300x225/m/a/manage1.png,https://audio.tflat.vn/audio/m/a/manage.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
prevent,v.,"Ngăn ngừa, phòng ngừa",/prɪˈvent/,To stop someone from doing something,This vaccine can prevent having some common childhood diseases.,Loại vắc-xin này có thể phòng ngừa một số loại bệnh thường gặp ở trẻ nhỏ.,https://audio.tflat.vn/data/cache/images/300x225/p/r/prevent1.png,https://audio.tflat.vn/audio/p/r/prevent.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
recommendation,n.,"Lời dặn dò, đề nghị ","/,rekəmen'deiʃn/",An official suggestion about the best thing to do,It is important to follow the doctor's recommendations if you want to improve your health.,Thật quan trọng để làm theo những dặn dò của bác sĩ nếu bạn muốn cải thiện sức khỏe.,https://audio.tflat.vn/data/cache/images/300x225/r/e/recommendation.png,https://audio.tflat.vn/audio/r/e/recommendation.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
record,n.,"Hồ sơ, sổ sách, biên bản",/´rekərd/,A written account of something that is kept so that it can be looked at and used in the future,You should keep a record of your expenses.,Bạn nên lưu trữ lại hồ sơ lưu trữ chi phí khám bệnh của bạn.,https://audio.tflat.vn/data/images_example/300x225/y/o/you_should_ex1_56248cf57f8b9af80c0121ad.jpg,https://audio.tflat.vn/audio/r/e/record.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
refer,v.,"Quy vào, nói đến",/ri'fə:/,To mention or speak about someone or something,"As soon as Agnes referred to the failed treatment, everyone's mood soured.","Ngay khi Agnes quy cho việc thất bại là do điều trị, tâm trạng của mọi người đã tỏ ra cáu kỉnh.",https://audio.tflat.vn/data/cache/images/300x225/r/e/refer1.png,https://audio.tflat.vn/audio/r/e/refer.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
serious,adj.,Nghiêm túc,/'siəriəs/,Bad or dangerous,We are always serious when working.,Chúng tôi luôn nghiêm túc khi làm việc.,https://audio.tflat.vn/data/cache/images/300x225/s/e/serious1.png,https://audio.tflat.vn/audio/s/e/serious.mp3,Doctor's Office,https://tienganhtflat.com/blog/toeic-words-doctor-s-office
investment,n.,Sự đầu tư,/ɪnˈvest mənt/,,Stocks are regarded as good long-term investments.,Cổ phiếu được coi là khoản đầu tư dài hạn tốt.,https://audio.tflat.vn/data/cache/images/300x225/i/n/investment1.jpg,https://audio.tflat.vn/audio/i/n/investment.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
aggressively,adv.,"Hung hăng, hùng hổ",/əˈɡresɪv/,Acting with force and determination in order to succeed.,His ideas were not well received because he spoke so aggressively.,Ý kiến của anh ta không được đón nhận nhiều vì anh ta nói quá hùng hổ.,https://audio.tflat.vn/data/cache/images/300x225/a/g/aggressively1.jpg,https://audio.tflat.vn/audio/a/g/aggressively.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
attitude,n.,Thái độ,/'ætitju:d/,The way that you think and feel about somebody/something.,Each person has his or her own attitude towards life.,Mỗi người có thái độ sống riêng.,https://audio.tflat.vn/data/cache/images/300x225/a/t/attitude1.jpg,https://audio.tflat.vn/audio/a/t/attitude.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
commit,v.,"Gửi, giao, giao phó, ủy nhiệm, ủy thác",/kə'mit/,To promise sincerely that you will definitely do something.,It is a good idea to commit a certain percentage of your income to investments.,Ý tưởng tốt là đem một vài % nào đó thu nhập của bạn để đầu tư.,https://audio.tflat.vn/data/cache/images/300x225/c/o/commit2.jpg,https://audio.tflat.vn/audio/c/o/commit.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
conservative,adj.,Bảo thủ,/kən'sə:vətiv/,Opposed to great or sudden social change; showing that you prefer traditional styles and values.,My brother is the most conservative person in my family. He always thinks that his idea is right.,Em trai của tôi là người bảo thủ nhất trong gia đình. Em ấy lúc nào cũng nghĩ rằng quan điểm của em ấy là đúng.,https://audio.tflat.vn/data/cache/images/300x225/c/o/conservative1.png,https://audio.tflat.vn/audio/c/o/conservative.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
fund,n.,Quỹ (tiết kiệm hoặc dùng cho một hoạt động cụ thể),/fʌnd/,,We subscribe to the charity fund.,Chúng tôi quyên góp cho quỹ từ thiện.,https://audio.tflat.vn/data/cache/images/300x225/f/u/fund1.jpg,https://audio.tflat.vn/audio/f/u/fund.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
invest,v.,Đầu tư,/in'vest/,"To buy property, shares in a company, etc. in the hope of making a profit.",Don't invest all of your time in just one project.,Đừng đầu tư tất cả thời gian của bạn vào chỉ một dự án.,https://audio.tflat.vn/data/cache/images/300x225/i/n/invest1.jpg,https://audio.tflat.vn/audio/i/n/invest.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
long-term,adj.,"Dài hạn, dài ngày, lâu dài",/'lɔɳtə:m/,Involing long time period.,The CEO's long-term goal was to increase the return on investment.,Mục tiêu dài hạn của giám đốc điều hành (CEO) là gia tăng tiền lãi thu về từ việc đầu tư.,https://audio.tflat.vn/data/cache/images/300x225/l/o/long-term1.png,https://audio.tflat.vn/audio/l/o/long-term.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
portfolio,n.,"Danh mục đầu tư, danh sách vốn đầu tư (của 1 cty, ngân hàng...)",/pɔ:t'fouljou/,The range of products or services offered by a particular company or organization.,Investors are advised to have diverse portfolios.,Nhà đầu tư được khuyên nên có nhiều danh mục đầu tư khác nhau.,https://audio.tflat.vn/data/cache/images/300x225/p/o/portfolio1.png,https://audio.tflat.vn/audio/p/o/portfolio.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
pull-out,n.,"Rút ra, rút khỏi",/ˈpʊl aʊt/,,The pull-out of the bank has left the company without financing.,Sự rút lui của ngân hàng đã để mặc cho công ty không còn tài chính.,https://audio.tflat.vn/data/cache/images/300x225/p/u/pull_out1.png,https://audio.tflat.vn/audio/p/u/pull_out.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
resource,n.,"Nguồn, nguồn lực",/rɪˈsɔːs/,,The most important factor for developing the economy is human resources.,Yếu tố quan trọng nhất để phát triển kinh tế là nguồn nhân lực.,https://audio.tflat.vn/data/cache/images/300x225/r/e/resource1.jpg,https://audio.tflat.vn/audio/r/e/resource.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
return,n.,"Tiền lãi, tiền lời",/ri'tə:n/,A mount of profit that you get from something,"Some investors are satisfied with a 15 percent return, while others want to see a much larger return.","Một số nhà đầu tư hài lòng với một khoản lãi 15%, trong khi những người khác thì muốn thấy mức lãi nhiều hơn.",https://audio.tflat.vn/data/cache/images/300x225/r/e/return1.png,https://audio.tflat.vn/audio/r/e/return.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
wisely,adj.,"Khôn ngoan, từng trải, thông thái, uyên bác",/waɪz/,Able to make sensible decisions and give good advice because of the experience.,"If you invest wisely, you will be able to retire early.","Nếu anh đầu tư khôn ngoan, anh sẽ có thể về hưu sớm.",https://audio.tflat.vn/data/cache/images/300x225/w/i/wisely1.png,https://audio.tflat.vn/audio/w/i/wisely.mp3,Investment,https://tienganhtflat.com/blog/toeic-words-investment
brand,n.,"Nhãn hiệu, nhãn hàng, chi nhánh",/brænd/,A type of product made by a particular company,All brands of aspirin are the same.,Mọi nhãn hiệu về thuốc giảm đau aspirin là như nhau.,https://audio.tflat.vn/data/cache/images/300x225/b/r/brand2.png,https://audio.tflat.vn/audio/b/r/brand.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control
conform,v.,"Làm cho phù hợp, làm cho thích hợp",/kən'fɔ:m/,To behave and think in the same way as most other people in a group or society,Our safety standards conform to those established by the government.,Các tiêu chuẩn an toàn của chúng tôi phù hợp với những tiêu chuẩn được thiết lập bởi chính phủ.,https://audio.tflat.vn/data/cache/images/300x225/c/o/conform1.png,https://audio.tflat.vn/audio/c/o/conform.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control
defect,n.,"Khuyết điểm, sai sót",/di'fekt/,A fault in something,"Because of a defect in cable, the phone was returned.",Vì một lỗi ở dây cáp nên chiếc điện thoại đã được trả lại. ,https://audio.tflat.vn/data/images_example/300x225/b/e/because_of_ex1_580ec40d7f8b9ae2888b4579.jpg,https://audio.tflat.vn/audio/d/e/defect.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control
enhance,v.,"Nâng cao, tăng cường",/in'hɑ:ns/,"To increase or further improve the good quality, value, or status of someone or something",This is an opportunity to enhance the reputation of the company.,Đây là cơ hội để nâng cao danh tiếng của công ty.,https://audio.tflat.vn/data/cache/images/300x225/e/n/enhance2.png,https://audio.tflat.vn/audio/e/n/enhance.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control
garment,n.,Quần áo,/'gɑ:mənt/,A piece of clothing,Portland garment factory was established in 2008.,Nhà máy may ở Portland (tiểu bang của Mỹ) đã được thành lập năm 2008.,https://audio.tflat.vn/data/cache/images/300x225/g/a/garment2.png,https://audio.tflat.vn/audio/g/a/garment.mp3,Quality Control,https://tienganhtflat.com/blog/toeic-words-quality-control
